"","LON","LAT"
"B-YANGA",16.52513,2.18726
"BAMBILI [BB-01]",10.240641,5.933689
"BAMBILI [BB-02]",10.240641,5.933689
"CORAF [1]",11.850278,-4.75
"CORAF [2]",11.85,-4.75
"GAMA [2]",15.383333,-4.075
"KITINA [KT3]",12,-4.27
"LH [1]",15.350278,-3.516667
"LOAME [FC 400]",17.4666964133709,3.833375907435
"MBAERE [FC 300]",16.9521056930514,3.97592193659073
"MBALANG [M4]",13.7333333333333,7.31666666666667
"MBI",10.348549,6.089273
"MBOANDONG",9.2689,4.45
"MONOUN",10.581908,5.566042
"NIGERDC [2]",6.433333,4.55
"OSSA [1]",9.996465,3.77
"OSSA [OW4]",9.996465,3.779141
"SN [2]",12.8,-3.836111
"SN [3]",12.804167,-3.835556
"SONGOLO [S2]",11.865278,-4.764167
