"","cal_yrBP","depth"
"1",-61,5
"2",-60.5,10
"3",-60,15
"4",-54,20
"5",-50,25
"6",-45,30
"7",-39,35
"8",-32,40
"9",-23,45
"10",-7,50
"11",15,55
"12",36,60
"13",49,65
"14",62,70
"15",75,75
"16",88,80
"17",101,85
"18",114,90
"19",127,95
"20",140,100
"21",153,100
"22",166,110
"23",179,115
"24",192,120
"25",205,125
"26",218,130
"27",231,135
"28",244,140
"29",257,145
"30",270,150
"31",283,155
"32",297,160
"33",310,165
"34",323,170
"35",336,175
"36",349,180
"37",362,185
"38",375,190
"39",388,195
"40",401,200
