"","Alchornea","Amaranthaceae/Chenopodiaceae","Antidesma venosum","Borreria chaetocephala","Bosqueia angolensis","Bridelia ferruginea","Bridelia micrantha","Calamus deeratus","Capparis","Ceiba pentandra","Celtis","Chlorophytum-type","Cleome ciliata-type","Cocos nucifera","Combretaceae/Melastomataceae","Commelina-type","Compositae","Corchorus olitorius","Crudia","Cyperaceae","Diospyros","Elaeis guineensis","Gramineae","Holoptelea grandis","Ilex mitis","Indetermines","Irvingia gabonensis","Lonchocarpus sericeus","Macaranga","Martretia quadricornis","Maytenus senegalensis","Mitragyna ciliata","Mitragyna stipulosa","Monoletes","Morelia senegalensis","Myrianthus arboreus","Nauclea latifolia","Pandanus candelabrum","Phoenix reclinata","Podocarpus milanjianus","Podococcus barteri","Pycnanthus angolensis","Raphia vinifera","Rhizophora","Ricinus communis","Rubiaceae","Symphonia globulifera","Syzygium guineense","Triletes","Uapaca","Uapaca heudelotii","Uapaca paludosa-type","Uncaria africana","Vitex","Vitex doniana","Ximenia americana"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",120,30,0,0,0,0,0,0,30,0,30,90,0,0,30,0,0,0,0,180,0,0,451,0,0,741,0,180,90,0,0,0,0,0,0,0,0,0,60,0,0,0,0,3396,0,0,0,0,0,0,0,120,0,0,0,0
"3",5,6,111,3,0,0,0,8,3,0,5,3,8,0,8,0,3,0,0,83,0,0,108,5,5,229,0,26,108,3,0,0,5,16,3,0,0,0,0,0,3,0,3,853,8,13,0,8,37,0,0,13,0,0,13,5
"4",1200,120,600,0,0,0,120,120,0,0,0,0,0,0,240,0,0,0,120,360,0,1440,600,0,0,1920,120,240,0,120,0,240,240,1560,0,0,0,0,33,0,0,120,0,32760,0,0,0,240,1200,240,0,0,120,240,0,0
"5",106,0,0,0,0,0,0,0,20,0,27,7,7,7,13,0,0,0,0,13,47,60,100,7,0,247,7,27,0,20,0,53,60,7,42,0,0,7,0,7,20,27,27,4003,7,20,0,0,47,100,33,0,126,0,0,86
"6",56,0,66,5,9,0,14,0,33,5,0,0,14,5,14,9,0,0,0,14,0,60,169,0,0,231,5,24,9,0,19,47,56,155,0,9,0,0,9,9,14,9,14,4188,33,9,0,24,71,103,28,0,125,9,0,33
"7",300,20,80,0,0,40,40,20,40,0,60,0,40,0,40,40,0,0,0,160,40,100,520,40,20,940,40,60,380,80,80,220,100,1080,0,20,0,20,160,0,60,100,100,13080,20,100,0,80,240,0,60,300,200,0,0,360
"8",250,0,37,0,0,0,0,0,149,0,114,0,114,0,114,74,0,0,0,74,223,260,483,0,74,1305,114,0,559,297,149,0,186,780,0,37,0,37,49,0,0,0,37,15667,0,0,0,37,186,0,408,0,743,0,0,334
"9",21,0,0,11,11,0,0,11,32,0,11,0,0,0,21,0,11,0,0,32,11,74,117,0,0,212,0,0,297,0,0,32,42,191,0,0,11,11,21,11,11,11,21,2648,0,21,11,0,85,21,106,0,85,0,0,42
"10",74,0,25,0,25,49,0,0,0,25,99,0,0,0,49,0,0,0,0,25,99,0,223,0,0,594,0,74,173,25,0,25,25,49,0,0,0,0,0,0,0,25,0,14671,0,0,0,0,74,25,99,0,0,25,0,25
"11",68,0,0,23,45,0,0,23,159,0,45,45,0,0,45,23,0,23,23,136,0,0,637,0,0,341,0,23,682,0,45,45,0,91,0,45,23,0,14,0,0,0,45,9007,0,0,23,0,227,0,68,136,0,0,45,0
"12",14,0,55,0,0,28,28,0,0,0,28,14,0,0,0,0,0,0,9,14,0,0,138,0,0,345,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6532,0,0,0,0,70,0,70,0,0,0,0,0
"13",75,0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0,0,0,0,0,0,149,0,0,670,0,372,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12280,298,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,36,0,0,106,0,0,71,0,18,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,36,0,0,18,0,0,18,0,0,0,18,0
"15",100,0,0,200,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,200,0,0,1200,0,0,3000,0,500,600,0,0,100,0,300,0,0,100,0,0,0,200,0,0,13400,200,0,100,100,700,0,500,0,0,0,0,0
"16",0,2,8,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,6,2,0,0,50,0,32,43,0,8,0,0,4,0,0,0,0,0,0,0,2,0,878,0,0,0,2,10,0,0,4,2,0,6,0
"17",286,0,572,0,0,0,0,0,0,0,286,1430,0,0,1430,0,0,0,0,572,0,0,4575,0,0,7719,0,2287,5718,0,0,572,286,858,0,0,286,0,0,0,286,101,286,36881,0,0,286,0,0,0,1430,2287,0,0,286,286
"18",0,0,0,0,0,0,0,0,0,0,303,101,0,0,101,0,0,0,0,0,0,0,1010,0,0,1515,0,202,1717,0,303,0,101,303,0,101,0,0,0,0,0,0,0,5252,101,0,0,101,101,0,0,909,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",8,10,0,0,0,0,0,5,0,0,3,3,0,0,13,0,8,0,0,26,0,0,94,3,0,52,0,8,3,5,0,13,3,21,0,26,3,3,0,0,0,5,13,36,0,3,0,3,8,0,55,10,0,0,0,3
"21",15,3,0,0,3,23,6,0,0,0,3,12,0,0,17,0,0,0,0,20,0,0,97,0,0,129,0,17,12,17,0,0,15,77,12,0,6,3,0,0,3,3,0,40,0,9,0,3,9,0,17,3,3,15,15,3
"22",24,9,0,3,0,0,42,0,0,0,0,24,0,0,69,0,9,0,0,18,0,6,231,15,0,0,0,24,42,0,0,0,0,63,0,3,0,0,0,0,0,3,3,78,0,0,0,3,15,0,0,0,24,6,0,6
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
